City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ketchikan,55.3422,-131.6461,18.26,72,100,2.06
moab,38.5733,-109.5498,31.74,28,77,0.75
coahuayana de hidalgo,18.7,-103.6583,29.55,81,91,2.32
al hufuf,25.3646,49.5653,33.19,29,0,1.03
celestun,20.8667,-90.4,29.7,75,75,7.04
saint-lys,43.5167,1.2,23.61,73,34,3.6
mariental,-24.6333,17.9667,15.48,18,10,4.71
sciacca,37.5082,13.0881,26.98,67,0,0.7
undurkhaan,47.3194,110.6556,18.63,69,0,2.31
santa terezinha,-29.9002,-50.0904,9.67,65,9,5.63
san matias,-16.3667,-58.4,22.01,19,59,2.23
astrakhan,46.3497,48.0408,17.93,63,0,1.0
ipilan,8.8431,117.9033,26.95,81,55,1.08
gaogou,34.0175,119.1886,27.16,88,33,1.4
fortuna,40.5982,-124.1573,21.07,58,0,8.23
choibalsan,48.0667,114.5,20.2,60,0,1.88
leninskoye,41.7589,69.3864,24.72,29,10,2.88
freetown,8.484,-13.2299,24.74,90,100,3.85
arica,-18.475,-70.3042,16.13,67,75,3.6
codajas,-3.8367,-62.0569,27.16,55,74,0.52
crane,31.3974,-102.3501,36.81,21,0,9.42
chokwe,-24.5333,32.9833,17.26,87,0,1.66
carnarvon,-24.8667,113.6333,16.7,86,0,4.6
juigne,47.7188,-0.3941,22.1,83,100,3.09
igarka,67.4667,86.5833,11.54,91,100,4.27
levelland,33.5873,-102.378,36.1,17,0,7.68
tsiombe,-25.3,45.4833,17.91,91,1,0.22
pariaman,-0.619,100.12,24.37,85,25,1.97
dingras,18.1032,120.6967,24.86,100,75,3.09
arkhangel'sk,64.5401,40.5433,13.06,88,20,3.0
motygino,58.1831,94.7592,11.11,91,94,0.51
sandila,27.0833,80.5167,27.91,79,66,1.95
olyokminsk,60.3736,120.4264,21.68,75,69,2.57
kargasok,59.0556,80.8572,12.68,74,100,2.57
brokopondo,4.75,-55.1667,29.03,66,43,1.56
fauske,67.2588,15.3918,13.0,96,54,1.31
knyaze-volkonskoye,48.4642,135.4567,21.1,97,93,2.23
muravlenko,63.7898,74.523,10.38,97,96,3.93
lazaro cardenas,17.9583,-102.2,29.26,76,100,3.03
camayenne,9.535,-13.6878,27.05,89,40,3.09
buon ma thuot,12.6667,108.05,21.38,97,70,1.17
al kharijah,25.4514,30.5464,32.36,24,0,4.7
filey,54.21,-0.2892,16.23,84,96,1.34
ambon,-3.6954,128.1814,27.17,90,40,3.09
tvoroyri,61.5556,-6.8111,11.92,86,61,15.35
mitu,1.1983,-70.1733,23.02,96,92,0.92
island harbour,50.724,-1.2758,16.67,84,4,0.89
kingston,17.997,-76.7936,29.53,84,40,5.14
port-gentil,-0.7193,8.7815,23.98,88,75,4.63
cidreira,-30.1811,-50.2056,9.04,67,8,5.2
salaverry,-8.2333,-78.9667,16.49,83,29,4.27
port isabel,26.0734,-97.2086,33.9,64,20,8.23
ubaitaba,-14.3125,-39.3233,20.44,98,36,0.72
ndende,-2.4008,11.3581,23.45,81,99,1.8
puttalam,8.0362,79.8283,26.21,88,100,2.62
san vicente,-26.6167,-54.1333,4.16,84,0,1.47
thal,35.4791,72.2439,16.3,85,73,0.88
katabu,-4.9333,122.5167,24.45,82,35,1.94
amga,60.8953,131.9608,20.37,78,93,1.69
waingapu,-9.6567,120.2641,23.38,79,100,4.01
sydney,-33.8679,151.2073,14.93,93,75,2.06
nyrob,60.733,56.7202,11.08,80,32,3.99
mazagao,-0.115,-51.2894,24.6,89,41,2.27
kalmunai,7.4167,81.8167,26.23,81,98,4.1
juan de ayolas,-27.4,-56.9,8.65,65,0,2.81
ovalle,-30.5983,-71.2003,18.15,57,1,1.65
baracoa,20.3467,-74.4958,28.58,83,62,1.99
yelizovo,53.1873,158.3805,15.08,88,75,2.0
sterling,39.0062,-77.4286,26.45,49,75,5.66
ridgecrest,35.6225,-117.6709,40.58,12,20,8.23
zykovo,55.9519,93.1461,11.97,92,68,0.28
xilin hot,43.9667,116.0333,17.32,79,99,2.01
chardara,41.2547,67.9692,25.11,38,14,2.36
swift current,50.2834,-107.8014,29.45,26,0,6.17
belozersk,60.0326,37.7957,14.17,91,100,3.56
mocimboa,-11.3167,40.35,20.91,88,36,1.18
licheng,23.2955,113.8284,27.06,87,100,1.14
miranda,3.2499,-76.2281,23.47,78,17,1.82
yoko,5.5333,12.3167,18.55,99,100,1.16
markaz-e hukumat-e darweshan,31.1323,64.1934,30.47,14,0,4.39
kenai,60.5544,-151.2583,12.09,93,100,9.26
chul'man,56.8479,124.9104,20.35,71,25,0.89
gorodoviki,46.1353,41.9656,17.96,37,0,3.04
